date,gender,unemployment_rate,year,quarter,quarter_label
2008-01-01,Women,26.6,2008,1,Q1 2008
2008-04-01,Women,26.3,2008,2,Q2 2008
2008-07-01,Women,25.8,2008,3,Q3 2008
2008-10-01,Women,24.9,2008,4,Q4 2008
2009-01-01,Women,25.6,2009,1,Q1 2009
2009-04-01,Women,25.3,2009,2,Q2 2009
2009-07-01,Women,26.3,2009,3,Q3 2009
2009-10-01,Women,25.6,2009,4,Q4 2009
2010-01-01,Women,27.2,2010,1,Q1 2010
2010-04-01,Women,27.4,2010,2,Q2 2010
2010-07-01,Women,27.9,2010,3,Q3 2010
2010-10-01,Women,26.3,2010,4,Q4 2010
2011-01-01,Women,27.9,2011,1,Q1 2011
2011-04-01,Women,28.1,2011,2,Q2 2011
2011-07-01,Women,27.5,2011,3,Q3 2011
2011-10-01,Women,25.9,2011,4,Q4 2011
2012-01-01,Women,27.3,2012,1,Q1 2012
2012-04-01,Women,26.8,2012,2,Q2 2012
2012-07-01,Women,27.5,2012,3,Q3 2012
2012-10-01,Women,27.1,2012,4,Q4 2012
2013-01-01,Women,26.8,2013,1,Q1 2013
2013-04-01,Women,27.5,2013,2,Q2 2013
2013-07-01,Women,26.2,2013,3,Q3 2013
2013-10-01,Women,26.3,2013,4,Q4 2013
2014-01-01,Women,27.0,2014,1,Q1 2014
2014-04-01,Women,27.5,2014,2,Q2 2014
2014-07-01,Women,27.8,2014,3,Q3 2014
2014-10-01,Women,26.6,2014,4,Q4 2014
2015-01-01,Women,28.7,2015,1,Q1 2015
2015-04-01,Women,27.3,2015,2,Q2 2015
2015-07-01,Women,27.9,2015,3,Q3 2015
2015-10-01,Women,26.9,2015,4,Q4 2015
2016-01-01,Women,29.3,2016,1,Q1 2016
2016-04-01,Women,29.1,2016,2,Q2 2016
2016-07-01,Women,29.3,2016,3,Q3 2016
2016-10-01,Women,28.9,2016,4,Q4 2016
2017-01-01,Women,29.8,2017,1,Q1 2017
2017-04-01,Women,29.8,2017,2,Q2 2017
2017-07-01,Women,29.8,2017,3,Q3 2017
2017-10-01,Women,29.0,2017,4,Q4 2017
2018-01-01,Women,28.8,2018,1,Q1 2018
2018-04-01,Women,29.5,2018,2,Q2 2018
2018-07-01,Women,29.4,2018,3,Q3 2018
2018-10-01,Women,29.5,2018,4,Q4 2018
2019-01-01,Women,29.3,2019,1,Q1 2019
2019-04-01,Women,31.3,2019,2,Q2 2019
2019-07-01,Women,30.9,2019,3,Q3 2019
2019-10-01,Women,31.3,2019,4,Q4 2019
2020-01-01,Women,32.4,2020,1,Q1 2020
2020-04-01,Women,24.8,2020,2,Q2 2020
2020-07-01,Women,32.3,2020,3,Q3 2020
2020-10-01,Women,34.3,2020,4,Q4 2020
2021-01-01,Women,34.0,2021,1,Q1 2021
2021-04-01,Women,36.8,2021,2,Q2 2021
2021-07-01,Women,37.3,2021,3,Q3 2021
2021-10-01,Women,38.2,2021,4,Q4 2021
2022-01-01,Women,36.4,2022,1,Q1 2022
2022-04-01,Women,35.5,2022,2,Q2 2022
2022-07-01,Women,35.1,2022,3,Q3 2022
2022-10-01,Women,35.5,2022,4,Q4 2022
2023-01-01,Women,35.4,2023,1,Q1 2023
2023-04-01,Women,35.7,2023,2,Q2 2023
2023-07-01,Women,34.0,2023,3,Q3 2023
2023-10-01,Women,34.4,2023,4,Q4 2023
2024-01-01,Women,35.2,2024,1,Q1 2024
2024-04-01,Women,35.8,2024,2,Q2 2024
2024-07-01,Women,34.4,2024,3,Q3 2024
2024-10-01,Women,33.9,2024,4,Q4 2024
2025-01-01,Women,35.5,2025,1,Q1 2025
2025-04-01,Women,35.9,2025,2,Q2 2025
2025-07-01,Women,35.1,2025,3,Q3 2025
2025-10-01,Women,34.6,2025,4,Q4 2025
2026-01-01,Women,36.4,2026,1,Q1 2026
2008-01-01,Men,20.5,2008,1,Q1 2008
2008-04-01,Men,19.7,2008,2,Q2 2008
2008-07-01,Men,20.4,2008,3,Q3 2008
2008-10-01,Men,18.8,2008,4,Q4 2008
2009-01-01,Men,20.9,2009,1,Q1 2009
2009-04-01,Men,21.5,2009,2,Q2 2009
2009-07-01,Men,23.0,2009,3,Q3 2009
2009-10-01,Men,22.8,2009,4,Q4 2009
2010-01-01,Men,23.3,2010,1,Q1 2010
2010-04-01,Men,23.2,2010,2,Q2 2010
2010-07-01,Men,23.5,2010,3,Q3 2010
2010-10-01,Men,22.0,2010,4,Q4 2010
2011-01-01,Men,22.4,2011,1,Q1 2011
2011-04-01,Men,23.5,2011,2,Q2 2011
2011-07-01,Men,22.9,2011,3,Q3 2011
2011-10-01,Men,22.0,2011,4,Q4 2011
2012-01-01,Men,23.2,2012,1,Q1 2012
2012-04-01,Men,23.1,2012,2,Q2 2012
2012-07-01,Men,23.3,2012,3,Q3 2012
2012-10-01,Men,22.4,2012,4,Q4 2012
2013-01-01,Men,23.6,2013,1,Q1 2013
2013-04-01,Men,23.4,2013,2,Q2 2013
2013-07-01,Men,23.1,2013,3,Q3 2013
2013-10-01,Men,22.4,2013,4,Q4 2013
2014-01-01,Men,23.7,2014,1,Q1 2014
2014-04-01,Men,23.8,2014,2,Q2 2014
2014-07-01,Men,23.4,2014,3,Q3 2014
2014-10-01,Men,22.4,2014,4,Q4 2014
2015-01-01,Men,24.4,2015,1,Q1 2015
2015-04-01,Men,23.1,2015,2,Q2 2015
2015-07-01,Men,23.5,2015,3,Q3 2015
2015-10-01,Men,22.5,2015,4,Q4 2015
2016-01-01,Men,24.7,2016,1,Q1 2016
2016-04-01,Men,24.6,2016,2,Q2 2016
2016-07-01,Men,25.2,2016,3,Q3 2016
2016-10-01,Men,24.5,2016,4,Q4 2016
2017-01-01,Men,26.0,2017,1,Q1 2017
2017-04-01,Men,26.0,2017,2,Q2 2017
2017-07-01,Men,26.0,2017,3,Q3 2017
2017-10-01,Men,24.8,2017,4,Q4 2017
2018-01-01,Men,25.1,2018,1,Q1 2018
2018-04-01,Men,25.3,2018,2,Q2 2018
2018-07-01,Men,25.9,2018,3,Q3 2018
2018-10-01,Men,25.1,2018,4,Q4 2018
2019-01-01,Men,26.1,2019,1,Q1 2019
2019-04-01,Men,27.1,2019,2,Q2 2019
2019-07-01,Men,27.7,2019,3,Q3 2019
2019-10-01,Men,27.2,2019,4,Q4 2019
2020-01-01,Men,28.3,2020,1,Q1 2020
2020-04-01,Men,22.1,2020,2,Q2 2020
2020-07-01,Men,29.6,2020,3,Q3 2020
2020-10-01,Men,31.0,2020,4,Q4 2020
2021-01-01,Men,31.4,2021,1,Q1 2021
2021-04-01,Men,32.4,2021,2,Q2 2021
2021-07-01,Men,32.9,2021,3,Q3 2021
2021-10-01,Men,32.8,2021,4,Q4 2021
2022-01-01,Men,33.0,2022,1,Q1 2022
2022-04-01,Men,32.6,2022,2,Q2 2022
2022-07-01,Men,31.0,2022,3,Q3 2022
2022-10-01,Men,30.4,2022,4,Q4 2022
2023-01-01,Men,30.7,2023,1,Q1 2023
2023-04-01,Men,30.0,2023,2,Q2 2023
2023-07-01,Men,30.1,2023,3,Q3 2023
2023-10-01,Men,30.1,2023,4,Q4 2023
2024-01-01,Men,31.0,2024,1,Q1 2024
2024-04-01,Men,31.5,2024,2,Q2 2024
2024-07-01,Men,30.1,2024,3,Q3 2024
2024-10-01,Men,30.1,2024,4,Q4 2024
2025-01-01,Men,30.7,2025,1,Q1 2025
2025-04-01,Men,31.0,2025,2,Q2 2025
2025-07-01,Men,29.3,2025,3,Q3 2025
2025-10-01,Men,28.8,2025,4,Q4 2025
2026-01-01,Men,29.6,2026,1,Q1 2026
