date,population,labour_force,employed,unemployed,unemployment_rate,age_group
2008-01-01,18208.560932496257,9596.493300231956,6460.337035720111,3136.1562645118174,0.3268023189716616,15-34
2008-04-01,18256.317681783097,9593.0062004623,6516.565044367713,3076.4411560945746,0.320696254313514,15-34
2008-07-01,18305.45789981395,9527.081046528856,6448.057238537061,3079.023807991778,0.32318648208767,15-34
2008-10-01,18354.972586787277,9464.442650758108,6525.197869429869,2939.2447813282433,0.310556563105468,15-34
2009-01-01,18404.402455021984,9489.287131835648,6295.567585975289,3193.719545860341,0.33656053415706205,15-34
2009-04-01,18453.952320927594,9278.728668286016,6153.667885693103,3125.060782592903,0.3367983798550033,15-34
2009-07-01,18504.9387418065,8978.53484099125,5860.673454315962,3117.861386675268,0.3472572576586504,15-34
2009-10-01,18556.30895923816,9025.624419304244,5898.182662901976,3127.4417564022833,0.3465069685054951,15-34
2010-01-01,18607.567072964674,9004.530942244972,5789.0861641526735,3215.444778092286,0.3570918683844985,15-34
2010-04-01,18658.925691225253,8993.169932952122,5768.248076394749,3224.9218565573597,0.35859678851845495,15-34
2010-07-01,18712.95556367812,8917.260570462771,5678.772077923077,3238.488492539699,0.3631707817607974,15-34
2010-10-01,18768.562640639226,8762.285487429053,5720.799841238938,3041.48564619015,0.34711099638943105,15-34
2011-01-01,18824.060469795077,8923.240188368332,5703.705193639968,3219.534994728374,0.36080335469677466,15-34
2011-04-01,18879.679131415123,9002.105279497377,5699.013387976348,3303.0918915210323,0.3669243792387037,15-34
2011-07-01,18937.07042674048,9018.249291660552,5778.531240927035,3239.7180507334992,0.3592402411995158,15-34
2011-10-01,18995.08777343955,8962.853759564483,5904.188626188721,3058.6651333757427,0.34126018514044876,15-34
2012-01-01,19053.016524124243,9146.318917948982,5873.769024488134,3272.5498934608277,0.35779967031749654,15-34
2012-04-01,19111.09677585016,9035.821466042966,5819.42210868205,3216.399357360901,0.355960923912483,15-34
2012-07-01,19169.14357456743,9286.336894081871,5926.018648803082,3360.3182452787996,0.36185616391112313,15-34
2012-10-01,19226.00707659025,9086.306526271386,5851.904270282683,3234.4022559887203,0.35596446660004705,15-34
2013-01-01,19282.811068888135,9171.153080978569,5850.013199966589,3321.1398810119895,0.362128933154567,15-34
2013-04-01,19339.790894047463,9306.882602764226,5909.766420675714,3397.116182088493,0.36501117797268867,15-34
2013-07-01,19396.747515951887,9334.694632209379,6069.591783157333,3265.1028490520375,0.3497814312838681,15-34
2013-10-01,19450.170955753892,9398.899630185007,6202.7502363882495,3196.1493937968007,0.3400557000877227,15-34
2014-01-01,19504.344609020027,9390.095699864924,6000.430190363168,3389.665509501768,0.3609830632024899,15-34
2014-04-01,19558.69667133808,9404.269237845961,6012.642928147807,3391.6263096981693,0.3606475127327403,15-34
2014-07-01,19610.403023991534,9451.50381082331,5977.041507353516,3474.4623034698006,0.3676094696688425,15-34
2014-10-01,19658.43170013078,9346.213598082546,6094.596149101778,3251.6174489807645,0.3479074616535472,15-34
2015-01-01,19706.422887282053,9885.061369092606,6239.385957478743,3645.6754116138636,0.3688065531907281,15-34
2015-04-01,19754.575093143198,9741.182269930712,6286.425257013761,3454.7570129169844,0.3546547962233703,15-34
2015-07-01,19801.485890248165,9888.956899322044,6351.537990857626,3537.418908464424,0.3577140586695184,15-34
2015-10-01,19846.19982565379,9783.684208607716,6371.767769789822,3411.9164388178788,0.3487353399873704,15-34
2016-01-01,19890.860902705113,9943.150276812366,6195.128461381674,3748.021815430672,0.37694510402514353,15-34
2016-04-01,19935.715475394696,9689.29387431924,6053.4035261059225,3635.8903482132973,0.3752482271024885,15-34
2016-07-01,19977.987510244137,9977.355378221819,6161.33453460869,3816.020843613109,0.38246816906437653,15-34
2016-10-01,20017.010993972202,9988.186270157566,6286.887891180301,3701.2983789772757,0.3705676164686591,15-34
2017-01-01,20056.03437651215,10235.266465224135,6280.772270536581,3954.4941946875547,0.38635967203428917,15-34
2017-04-01,20095.05495180006,10084.848142340767,6133.095675543319,3951.7524667974494,0.39185046824911524,15-34
2017-07-01,20132.54596139567,10090.148328780184,6192.658765035347,3897.489563744851,0.38626682549631314,15-34
2017-10-01,20167.70137926613,9856.512700354358,6094.747527530578,3761.7651728237843,0.38165274952555406,15-34
2018-01-01,20202.853954625483,9941.530695944257,6146.880745834338,3794.649950109899,0.38169674934041725,15-34
2018-04-01,20238.001261036705,9923.927590536214,6068.815107923347,3855.112482612859,0.38846640580985514,15-34
2018-07-01,20271.172231544297,10068.265871544501,6146.260601332068,3922.0052702124176,0.3895412894584964,15-34
2018-10-01,20301.669525411817,10005.487077442218,6138.304193855944,3867.1828835863,0.3865062094083378,15-34
2019-01-01,20332.180289029602,9928.057922320422,5994.654535448921,3933.403386871487,0.39619061629650093,15-34
2019-04-01,20362.702188327676,10129.779542201233,5964.514271809607,4165.26527039164,0.41119012047981,15-34
2019-07-01,20391.850717401554,10157.338021591902,5904.809887003879,4252.528134588074,0.4186656115557331,15-34
2019-10-01,20419.010713239062,10204.024237536682,5966.145424752077,4237.878812784593,0.4153144596810214,15-34
2020-01-01,20446.345779862633,10365.413554192157,5890.718442564362,4474.695111627819,0.4316947981123326,15-34
2020-04-01,20473.707,7384.611060623124,4869.684996356835,2514.9260642662884,0.34056310394959044,15-34
2020-07-01,20500.432437348056,8935.412327680144,5076.0840323522525,3859.328295327884,0.43191384502452634,15-34
2020-10-01,20526.100016878758,9414.413071918945,5073.922504382839,4340.490567536121,0.4610473891869922,15-34
2021-01-01,20551.79015239818,9317.568155231575,5005.446380631746,4312.12177459982,0.4627947660547752,15-34
2021-04-01,20577.500685922238,9723.812144419633,5047.111113279068,4676.7010311405675,0.48095345340710477,15-34
2021-07-01,20603.36597319716,9211.879655367544,4671.610979162638,4540.2686762048925,0.4928710367551736,15-34
2021-10-01,20628.81536242229,9551.75505098873,4866.487550245226,4685.267500743524,0.49051378262244466,15-34
2022-01-01,20654.26923365573,9791.053718493995,5110.733039155299,4680.320679338707,0.47802012060236226,15-34
2022-04-01,20679.725668648847,10253.113822836507,5480.6374263481175,4772.476396488377,0.4654660505044583,15-34
2022-07-01,20704.546822755576,10095.756691664837,5505.28909488058,4590.467596784287,0.45469277212021414,15-34
2022-10-01,20728.189323309052,10227.45836355289,5590.963698885932,4636.49466466696,0.45333791640646676,15-34
2023-01-01,20751.822513839823,10496.971520997535,5619.269420740178,4877.702100257344,0.46467708238516897,15-34
2023-04-01,20775.44474190605,10470.594094069576,5724.074525804872,4746.519568264697,0.4533190309567125,15-34
2023-07-01,20798.141919389887,10533.636694173296,5960.637396552254,4572.999297621025,0.43413299987368936,15-34
2023-10-01,20819.435512035023,10523.923989639852,5863.940880794176,4659.98310884571,0.44279900856687804,15-34
2024-01-01,20840.84782447535,10752.176052885286,5856.453899690842,4895.722153194458,0.45532384599308323,15-34
2024-04-01,20862.261134380344,10714.877263536808,5718.277255034973,4996.600008501813,0.46632358781238303,15-34
2024-07-01,20881.670164630144,10610.114684189559,5784.337914679729,4825.776769509816,0.45482795550747884,15-34
2024-10-01,20898.794192234134,10513.879971512875,5821.10879207444,4692.771179438409,0.44634057000397265,15-34
2025-01-01,20915.939227292743,10511.605882821872,5668.315456206169,4843.290426615697,0.46075647057226815,15-34
2025-04-01,20933.103580430645,10581.015951194498,5698.93979340803,4882.076157786504,0.46139956506117574,15-34
2025-07-01,20946.348215837206,10598.422587410194,5963.358676959779,4635.063910450409,0.43733526118843147,15-34
2025-10-01,20955.409169610248,10401.206507225823,5849.954711933658,4551.251795292166,0.43756960234664755,15-34
2026-01-01,20964.50483342001,10324.671130768162,5591.976907599072,4732.694223169065,0.45838692227836114,15-34
